SampleName,27FBarcode,1492RBarcode
Muhlendamm,27FNB01,1492RNB01
Stadthafen,27FNB01,1492RNB02
SABMarinaBramow,27FNB01,1492RNB03
IGAPark,27FNB01,1492RNB04
NeptunWerft,27FNB01,1492RNB05
MittelmoleWarnemunde,27FNB01,1492RNB06
WarnemundeStrand,27FNB01,1492RNB07
FieldBlank,27FNB01,1492RNB08
f0_b100_b_p1_r1,27FNB01,1492RNB09
f0_b100_b_p1_r2,27FNB01,1492RNB10
f0_b100_b_p1_r3,27FNB01,1492RNB11
f0_b100_b_p1_r4,27FNB01,1492RNB12
f25_b75_b_p1_r1,27FNB01,1492RNB13
f25_b75_b_p1_r2,27FNB01,1492RNB14
f25_b75_b_p1_r3,27FNB01,1492RNB15
f25_b75_b_p1_r4,27FNB01,1492RNB16
f50_b50_b_p1_r1,27FNB02,1492RNB01
f50_b50_b_p1_r2,27FNB02,1492RNB02
f50_b50_b_p1_r3,27FNB02,1492RNB03
f50_b50_b_p1_r4,27FNB02,1492RNB04
f75_b25_b_p1_r1,27FNB02,1492RNB05
f75_b25_b_p1_r2,27FNB02,1492RNB06
f75_b25_b_p1_r3,27FNB02,1492RNB07
f75_b25_b_p1_r4,27FNB02,1492RNB08
f100_b0_b_p1_r1,27FNB02,1492RNB09
f100_b0_b_p1_r2,27FNB02,1492RNB10
f100_b0_b_p1_r3,27FNB02,1492RNB11
f100_b0_b_p1_r4,27FNB02,1492RNB12
f0_b100_f_p1_r1,27FNB02,1492RNB13
f0_b100_f_p1_r2,27FNB02,1492RNB14
f0_b100_f_p1_r3,27FNB02,1492RNB15
f0_b100_f_p1_r4,27FNB02,1492RNB16
f25_b75_f_p1_r1,27FNB03,1492RNB01
f25_b75_f_p1_r2,27FNB03,1492RNB02
f25_b75_f_p1_r3,27FNB03,1492RNB03
f25_b75_f_p1_r4,27FNB03,1492RNB04
f50_b50_f_p1_r1,27FNB03,1492RNB05
f50_b50_f_p1_r2,27FNB03,1492RNB06
f50_b50_f_p1_r3,27FNB03,1492RNB07
f50_b50_f_p1_r4,27FNB03,1492RNB08
f75_b25_f_p1_r1,27FNB03,1492RNB09
f75_b25_f_p1_r2,27FNB03,1492RNB10
f75_b25_f_p1_r3,27FNB03,1492RNB11
f75_b25_f_p1_r4,27FNB03,1492RNB12
f100_b0_f_p1_r1,27FNB03,1492RNB13
f100_b0_f_p1_r2,27FNB03,1492RNB14
f100_b0_f_p1_r3,27FNB03,1492RNB15
f100_b0_f_p1_r4,27FNB03,1492RNB16
f0_b0_f_p1_r1,27FNB04,1492RNB01
f0_b0_b_p1_r1,27FNB04,1492RNB02
f0_b100_b_p2_r1,27FNB04,1492RNB03
f0_b100_b_p2_r2,27FNB04,1492RNB04
f0_b100_b_p2_r3,27FNB04,1492RNB05
f0_b100_b_p2_r4,27FNB04,1492RNB06
f25_b75_b_p2_r1,27FNB04,1492RNB07
f25_b75_b_p2_r2,27FNB04,1492RNB08
f25_b75_b_p2_r3,27FNB04,1492RNB09
f25_b75_b_p2_r4,27FNB04,1492RNB10
f50_b50_b_p2_r1,27FNB04,1492RNB11
f50_b50_b_p2_r2,27FNB04,1492RNB12
f50_b50_b_p2_r3,27FNB04,1492RNB13
f50_b50_b_p2_r4,27FNB04,1492RNB14
f75_b25_b_p2_r1,27FNB04,1492RNB15
f75_b25_b_p2_r2,27FNB04,1492RNB16
f75_b25_b_p2_r3,27FNB05,1492RNB01
f75_b25_b_p2_r4,27FNB05,1492RNB02
f100_b0_b_p2_r1,27FNB05,1492RNB03
f100_b0_b_p2_r2,27FNB05,1492RNB04
f100_b0_b_p2_r3,27FNB05,1492RNB05
f100_b0_b_p2_r4,27FNB05,1492RNB06
f0_b100_f_p2_r1,27FNB05,1492RNB07
f0_b100_f_p2_r2,27FNB05,1492RNB08
f0_b100_f_p2_r3,27FNB05,1492RNB09
f0_b100_f_p2_r4,27FNB05,1492RNB10
f25_b75_f_p2_r1,27FNB05,1492RNB11
f25_b75_f_p2_r2,27FNB05,1492RNB12
f25_b75_f_p2_r3,27FNB05,1492RNB13
f25_b75_f_p2_r4,27FNB05,1492RNB14
f50_b50_f_p2_r1,27FNB05,1492RNB15
f50_b50_f_p2_r2,27FNB05,1492RNB16
f50_b50_f_p2_r3,27FNB06,1492RNB01
f50_b50_f_p2_r4,27FNB06,1492RNB02
f75_b25_f_p2_r1,27FNB06,1492RNB03
f75_b25_f_p2_r2,27FNB06,1492RNB04
f75_b25_f_p2_r3,27FNB06,1492RNB05
f75_b25_f_p2_r4,27FNB06,1492RNB06
f100_b0_f_p2_r1,27FNB06,1492RNB07
f100_b0_f_p2_r2,27FNB06,1492RNB08
f100_b0_f_p2_r3,27FNB06,1492RNB09
f100_b0_f_p2_r4,27FNB06,1492RNB10
f0_b0_f_p2_r1,27FNB06,1492RNB11
f0_b0_b_p2_r1,27FNB06,1492RNB12
f0_b100_b_p3_r1,27FNB06,1492RNB13
f0_b100_b_p3_r2,27FNB06,1492RNB14
f0_b100_b_p3_r3,27FNB06,1492RNB15
f0_b100_b_p3_r4,27FNB06,1492RNB16
f25_b75_b_p3_r1,27FNB07,1492RNB01
f25_b75_b_p3_r2,27FNB07,1492RNB02
f25_b75_b_p3_r3,27FNB07,1492RNB03
f25_b75_b_p3_r4,27FNB07,1492RNB04
f50_b50_b_p3_r1,27FNB07,1492RNB05
f50_b50_b_p3_r2,27FNB07,1492RNB06
f50_b50_b_p3_r3,27FNB07,1492RNB07
f50_b50_b_p3_r4,27FNB07,1492RNB08
f75_b25_b_p3_r1,27FNB07,1492RNB09
f75_b25_b_p3_r2,27FNB07,1492RNB10
f75_b25_b_p3_r3,27FNB07,1492RNB11
f75_b25_b_p3_r4,27FNB07,1492RNB12
f100_b0_b_p3_r1,27FNB07,1492RNB13
f100_b0_b_p3_r2,27FNB07,1492RNB14
f100_b0_b_p3_r3,27FNB07,1492RNB15
f100_b0_b_p3_r4,27FNB07,1492RNB16
f0_b100_f_p3_r1,27FNB08,1492RNB01
f0_b100_f_p3_r2,27FNB08,1492RNB02
f0_b100_f_p3_r3,27FNB08,1492RNB03
f0_b100_f_p3_r4,27FNB08,1492RNB04
f25_b75_f_p3_r1,27FNB08,1492RNB05
f25_b75_f_p3_r2,27FNB08,1492RNB06
f25_b75_f_p3_r3,27FNB08,1492RNB07
f25_b75_f_p3_r4,27FNB08,1492RNB08
f50_b50_f_p3_r1,27FNB08,1492RNB09
f50_b50_f_p3_r2,27FNB08,1492RNB10
f50_b50_f_p3_r3,27FNB08,1492RNB11
f50_b50_f_p3_r4,27FNB08,1492RNB12
f75_b25_f_p3_r1,27FNB08,1492RNB13
f75_b25_f_p3_r2,27FNB08,1492RNB14
f75_b25_f_p3_r3,27FNB08,1492RNB15
f75_b25_f_p3_r4,27FNB08,1492RNB16
