taxonomy,EvenMock_r1,EvenMock_r2,EvenMock_r3,f0_b0_b_p1_r1,f0_b0_b_p2_r1,f0_b0_b_p3_r1,f0_b0_b_p4_r1,f0_b0_b_p5_r1,f0_b0_b_p6_r1,f0_b0_f_p1_r1,f0_b0_f_p2_r1,f0_b0_f_p3_r1,f0_b0_f_p4_r1,f0_b0_f_p5_r1,f0_b0_f_p6_r1,f0_b100_b_p1_r1,f0_b100_b_p1_r2,f0_b100_b_p1_r3,f0_b100_b_p1_r4,f0_b100_b_p2_r1,f0_b100_b_p2_r2,f0_b100_b_p2_r3,f0_b100_b_p2_r4,f0_b100_b_p3_r1,f0_b100_b_p3_r2,f0_b100_b_p3_r3,f0_b100_b_p3_r4,f0_b100_b_p4_r1,f0_b100_b_p4_r2,f0_b100_b_p4_r3,f0_b100_b_p4_r4,f0_b100_b_p5_r1,f0_b100_b_p5_r2,f0_b100_b_p5_r3,f0_b100_b_p5_r4,f0_b100_b_p6_r1,f0_b100_b_p6_r2,f0_b100_b_p6_r3,f0_b100_b_p6_r4,f0_b100_f_p1_r1,f0_b100_f_p1_r2,f0_b100_f_p1_r3,f0_b100_f_p1_r4,f0_b100_f_p2_r1,f0_b100_f_p2_r2,f0_b100_f_p2_r3,f0_b100_f_p2_r4,f0_b100_f_p3_r1,f0_b100_f_p3_r2,f0_b100_f_p3_r3,f0_b100_f_p3_r4,f0_b100_f_p4_r1,f0_b100_f_p4_r2,f0_b100_f_p4_r3,f0_b100_f_p4_r4,f0_b100_f_p5_r1,f0_b100_f_p5_r2,f0_b100_f_p5_r3,f0_b100_f_p5_r4,f0_b100_f_p6_r1,f0_b100_f_p6_r2,f0_b100_f_p6_r3,f0_b100_f_p6_r4,f100_b0_b_p1_r1,f100_b0_b_p1_r2,f100_b0_b_p1_r3,f100_b0_b_p1_r4,f100_b0_b_p2_r1,f100_b0_b_p2_r2,f100_b0_b_p2_r3,f100_b0_b_p2_r4,f100_b0_b_p3_r1,f100_b0_b_p3_r2,f100_b0_b_p3_r3,f100_b0_b_p3_r4,f100_b0_b_p4_r1,f100_b0_b_p4_r2,f100_b0_b_p4_r3,f100_b0_b_p4_r4,f100_b0_b_p5_r1,f100_b0_b_p5_r2,f100_b0_b_p5_r3,f100_b0_b_p5_r4,f100_b0_b_p6_r1,f100_b0_b_p6_r2,f100_b0_b_p6_r3,f100_b0_b_p6_r4,f100_b0_f_p1_r1,f100_b0_f_p1_r2,f100_b0_f_p1_r3,f100_b0_f_p1_r4,f100_b0_f_p2_r1,f100_b0_f_p2_r2,f100_b0_f_p2_r3,f100_b0_f_p2_r4,f100_b0_f_p3_r1,f100_b0_f_p3_r2,f100_b0_f_p3_r3,f100_b0_f_p3_r4,f100_b0_f_p4_r1,f100_b0_f_p4_r2,f100_b0_f_p4_r3,f100_b0_f_p4_r4,f100_b0_f_p5_r1,f100_b0_f_p5_r2,f100_b0_f_p5_r3,f100_b0_f_p5_r4,f100_b0_f_p6_r1,f100_b0_f_p6_r2,f100_b0_f_p6_r3,f100_b0_f_p6_r4,f25_b75_b_p1_r1,f25_b75_b_p1_r2,f25_b75_b_p1_r3,f25_b75_b_p1_r4,f25_b75_b_p2_r1,f25_b75_b_p2_r2,f25_b75_b_p2_r3,f25_b75_b_p2_r4,f25_b75_b_p3_r1,f25_b75_b_p3_r2,f25_b75_b_p3_r3,f25_b75_b_p3_r4,f25_b75_b_p4_r1,f25_b75_b_p4_r2,f25_b75_b_p4_r3,f25_b75_b_p4_r4,f25_b75_b_p5_r1,f25_b75_b_p5_r2,f25_b75_b_p5_r3,f25_b75_b_p5_r4,f25_b75_b_p6_r1,f25_b75_b_p6_r2,f25_b75_b_p6_r3,f25_b75_b_p6_r4,f25_b75_f_p1_r1,f25_b75_f_p1_r2,f25_b75_f_p1_r3,f25_b75_f_p1_r4,f25_b75_f_p2_r1,f25_b75_f_p2_r2,f25_b75_f_p2_r3,f25_b75_f_p2_r4,f25_b75_f_p3_r1,f25_b75_f_p3_r2,f25_b75_f_p3_r3,f25_b75_f_p3_r4,f25_b75_f_p4_r1,f25_b75_f_p4_r2,f25_b75_f_p4_r3,f25_b75_f_p4_r4,f25_b75_f_p5_r1,f25_b75_f_p5_r2,f25_b75_f_p5_r3,f25_b75_f_p5_r4,f25_b75_f_p6_r1,f25_b75_f_p6_r2,f25_b75_f_p6_r3,f25_b75_f_p6_r4,f50_b50_b_p1_r1,f50_b50_b_p1_r2,f50_b50_b_p1_r3,f50_b50_b_p1_r4,f50_b50_b_p2_r1,f50_b50_b_p2_r2,f50_b50_b_p2_r3,f50_b50_b_p2_r4,f50_b50_b_p3_r1,f50_b50_b_p3_r2,f50_b50_b_p3_r3,f50_b50_b_p3_r4,f50_b50_b_p4_r1,f50_b50_b_p4_r2,f50_b50_b_p4_r3,f50_b50_b_p4_r4,f50_b50_b_p5_r1,f50_b50_b_p5_r2,f50_b50_b_p5_r3,f50_b50_b_p5_r4,f50_b50_b_p6_r1,f50_b50_b_p6_r2,f50_b50_b_p6_r3,f50_b50_b_p6_r4,f50_b50_f_p1_r1,f50_b50_f_p1_r2,f50_b50_f_p1_r3,f50_b50_f_p1_r4,f50_b50_f_p2_r1,f50_b50_f_p2_r2,f50_b50_f_p2_r3,f50_b50_f_p2_r4,f50_b50_f_p3_r1,f50_b50_f_p3_r2,f50_b50_f_p3_r3,f50_b50_f_p3_r4,f50_b50_f_p4_r1,f50_b50_f_p4_r2,f50_b50_f_p4_r3,f50_b50_f_p4_r4,f50_b50_f_p5_r1,f50_b50_f_p5_r2,f50_b50_f_p5_r3,f50_b50_f_p5_r4,f50_b50_f_p6_r1,f50_b50_f_p6_r2,f50_b50_f_p6_r3,f50_b50_f_p6_r4,f75_b25_b_p1_r1,f75_b25_b_p1_r2,f75_b25_b_p1_r3,f75_b25_b_p1_r4,f75_b25_b_p2_r1,f75_b25_b_p2_r2,f75_b25_b_p2_r3,f75_b25_b_p2_r4,f75_b25_b_p3_r1,f75_b25_b_p3_r2,f75_b25_b_p3_r3,f75_b25_b_p3_r4,f75_b25_b_p4_r1,f75_b25_b_p4_r2,f75_b25_b_p4_r3,f75_b25_b_p4_r4,f75_b25_b_p5_r1,f75_b25_b_p5_r2,f75_b25_b_p5_r3,f75_b25_b_p5_r4,f75_b25_b_p6_r1,f75_b25_b_p6_r2,f75_b25_b_p6_r3,f75_b25_b_p6_r4,f75_b25_f_p1_r1,f75_b25_f_p1_r2,f75_b25_f_p1_r3,f75_b25_f_p1_r4,f75_b25_f_p2_r1,f75_b25_f_p2_r2,f75_b25_f_p2_r3,f75_b25_f_p2_r4,f75_b25_f_p3_r1,f75_b25_f_p3_r2,f75_b25_f_p3_r3,f75_b25_f_p3_r4,f75_b25_f_p4_r1,f75_b25_f_p4_r2,f75_b25_f_p4_r3,f75_b25_f_p4_r4,f75_b25_f_p5_r1,f75_b25_f_p5_r2,f75_b25_f_p5_r3,f75_b25_f_p5_r4,f75_b25_f_p6_r1,f75_b25_f_p6_r2,f75_b25_f_p6_r3,f75_b25_f_p6_r4,FieldBlank,IGAPark,LogMock_r1,LogMock_r2,LogMock_r3,MittelmoleWarnemunde,Muhlendamm,NeptunWerft,PCRcontrol_r1,PCRcontrol_r2,PCRcontrol_r3,SABMarinaBramow,Stadthafen,TEcontrol_r1,TEcontrol_r2,TEcontrol_r3,WarnemundeStrand
d__Bacteria,9869,40487,30023,13970,28047,5776,10020,63628,12674,46089,72751,61860,39924,61560,34384,30955,25516,34210,28660,18108,8023,45181,10532,22394,17391,37872,46902,33480,12193,25348,34485,11957,6963,9751,5473,32258,42079,23121,12785,18275,11576,30726,30475,22143,11509,35066,31884,17496,11915,12532,4665,18766,17558,10514,7445,52668,12900,24349,17939,63062,41028,28222,23544,26411,32875,32550,30690,23396,10327,39772,11947,19220,17029,30480,17397,21331,10231,21071,17887,38997,46373,26049,8284,48008,67759,26145,10955,21536,14206,35528,67433,30684,9894,29608,27503,24021,13674,18915,5034,18594,18008,13112,8445,35578,6923,28395,15497,43584,21748,29474,15860,17091,12578,23271,30834,27678,10299,35473,13910,36260,12659,21809,9383,41035,28317,20606,10059,13350,4038,13959,3725,32445,41765,44083,13213,43880,14189,27008,8005,36956,35154,15161,6379,18335,6278,17418,5788,19679,27789,16832,10433,83476,34328,38346,25269,24904,8178,55124,13386,23650,11473,14214,6199,25911,28342,16751,9215,24530,8401,22372,9326,32174,28018,17191,8055,13706,11580,13434,12204,24034,7669,42623,10494,44190,13989,50197,14617,21386,35366,38782,15439,17702,21076,22554,20267,10569,5551,23258,5691,18365,14537,37970,36611,42930,13172,30343,35902,39340,6518,28688,11739,25570,31663,50609,20317,27743,36323,25146,19199,19022,7117,20278,6933,7200,5479,11112,11102,40154,14151,42811,29229,41583,30817,39801,32403,20232,4627,29848,8543,12647,5706,23135,19111,18080,7222,18567,19839,28000,10190,24059,5015,30907,23379,19238,9462,320,1849,123865,116020,63991,3640,12584,10225,245,272,138,6053,5288,23831,4435,12598,11166
d__Bacteria|p__Abditibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Abditibacteriota|c__Abditibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Abditibacteriota|c__Abditibacteria|o__Abditibacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Abditibacteriota|c__Abditibacteria|o__Abditibacteriales|f__Abditibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Abditibacteriota|c__Abditibacteria|o__Abditibacteriales|f__Abditibacteriaceae|g__Abditibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Acetothermia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Acetothermia|c__Acetothermiia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Acidobacteriota,0,0,0,1,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
